CAMPAÑA FINAL;MES;BASE;Altas;Ingresos
Millenium Web Center;1/02/2025;Portabilidad Pospago;99; $ 3.318.480 
Nexa Masivo;1/02/2025;Portabilidad Pospago;34; $ 1.139.680 
ABAI Masivo;1/02/2025;Servicios Fijo;135; $ 7.492.665 
ABAI Proactivo;1/02/2025;Servicios Fijo;48; $ 1.792.363 
ABAI Segundo Anillo;1/02/2025;Servicios Fijo;59; $ 2.144.959 
Almacontact Swat;1/02/2025;Servicios Fijo;251; $ 10.313.433 
AQI  Segundo Anillo;1/02/2025;Servicios Fijo;59; $ 2.144.959 
AQI Masivo Barranquilla;1/02/2025;Servicios Fijo;159; $ 8.814.900 
AQI Whatsapp;1/02/2025;Servicios Fijo;125; $ 4.143.003 
Atento  Segundo Anillo;1/02/2025;Servicios Fijo;89; $ 3.202.747 
Atento Proactivo;1/02/2025;Servicios Fijo;119; $ 4.466.216 
Atento Swat Bogotá;1/02/2025;Servicios Fijo;286; $ 11.782.583 
Atento Traslados Pereira;1/02/2025;Servicios Fijo;179; $ 7.375.133 
BRM Filtro;1/02/2025;Servicios Fijo;444; $ 16.043.118 
BRM Masivo Medellín;1/02/2025;Servicios Fijo;159; $ 8.814.900 
BRM Whatsapp;1/02/2025;Servicios Fijo;125; $ 4.143.003 
COS Fidelización Bogotá;1/02/2025;Servicios Fijo;71; $ 2.673.853 
COS Masivo Bogotá;1/02/2025;Servicios Fijo;200; $ 11.048.008 
COS Segundo Anillo;1/02/2025;Servicios Fijo;89; $ 3.202.747 
COS Whatsapp;1/02/2025;Servicios Fijo;62; $ 2.056.810 
Millenium Masivo;1/02/2025;Servicios Fijo;80; $ 4.407.450 
Millenium Web Center;1/02/2025;Servicios Fijo;313; $ 10.313.433 
Nexa Masivo;1/02/2025;Servicios Fijo;64; $ 3.525.960 
ABAI Masivo;1/02/2025;Tecnología;56; $ 14.442.749 
ABAI Proactivo;1/02/2025;Tecnología;4; $ 1.129.601 
ABAI Segundo Anillo;1/02/2025;Tecnología;8; $ 2.130.104 
Almacontact Swat;1/02/2025;Tecnología;41; $ 10.712.689 
AQI  Segundo Anillo;1/02/2025;Tecnología;8; $ 2.130.104 
AQI Masivo Barranquilla;1/02/2025;Tecnología;33; $ 8.665.650 
AQI Whatsapp;1/02/2025;Tecnología;6; $ 1.476.564 
Atento  Segundo Anillo;1/02/2025;Tecnología;12; $ 3.195.156 
Atento Proactivo;1/02/2025;Tecnología;11; $ 2.824.001 
Atento Swat Bogotá;1/02/2025;Tecnología;200; $ 51.896.680 
Atento Traslados Pereira;1/02/2025;Tecnología;122; $ 31.629.085 
BRM Filtro;1/02/2025;Tecnología;62; $ 15.975.779 
BRM Masivo Medellín;1/02/2025;Tecnología;40; $ 10.398.780 
BRM Whatsapp;1/02/2025;Tecnología;11; $ 2.766.437 
COS Fidelización Bogotá;1/02/2025;Tecnología;7; $ 1.694.401 
COS Masivo Bogotá;1/02/2025;Tecnología;56; $ 14.442.749 
COS Segundo Anillo;1/02/2025;Tecnología;12; $ 3.195.156 
COS Whatsapp;1/02/2025;Tecnología;8; $ 2.087.557 
Millenium Masivo;1/02/2025;Tecnología;20; $ 5.199.390 
Millenium Web Center;1/02/2025;Tecnología;8; $ 2.155.445 
Nexa Masivo;1/02/2025;Tecnología;18; $ 4.621.680 
ABAI Masivo;1/02/2025;Terminales;99; $ 118.169.285 
ABAI Proactivo;1/02/2025;Terminales;2; $ 2.884.132 
ABAI Segundo Anillo;1/02/2025;Terminales;9; $ 10.703.334 
Almacontact Swat;1/02/2025;Terminales;46; $ 54.686.194 
AQI  Segundo Anillo;1/02/2025;Terminales;9; $ 10.703.333 
AQI Masivo Barranquilla;1/02/2025;Terminales;59; $ 70.901.571 
AQI Whatsapp;1/02/2025;Terminales;16; $ 19.515.958 
Atento  Segundo Anillo;1/02/2025;Terminales;13; $ 16.055.000 
Atento Proactivo;1/02/2025;Terminales;6; $ 7.210.329 
Atento Swat Bogotá;1/02/2025;Terminales;76; $ 90.670.704 
Atento Traslados Pereira;1/02/2025;Terminales;44; $ 52.513.078 
BRM Filtro;1/02/2025;Terminales;67; $ 80.274.999 
BRM Masivo Medellín;1/02/2025;Terminales;71; $ 85.081.885 
BRM Whatsapp;1/02/2025;Terminales;31; $ 36.564.381 
COS Fidelización Bogotá;1/02/2025;Terminales;4; $ 4.326.198 
COS Masivo Bogotá;1/02/2025;Terminales;99; $ 118.169.285 
COS Segundo Anillo;1/02/2025;Terminales;13; $ 16.055.000 
COS Whatsapp;1/02/2025;Terminales;23; $ 27.591.527 
Millenium Masivo;1/02/2025;Terminales;36; $ 42.540.943 
Millenium Web Center;1/02/2025;Terminales;24; $ 28.488.812 
Nexa Masivo;1/02/2025;Terminales;32; $ 37.814.171 
ABAI Masivo;1/02/2025;UG Fijo;116; $ 1.849.600 
ABAI Proactivo;1/02/2025;UG Fijo;137; $ 2.188.800 
ABAI Segundo Anillo;1/02/2025;UG Fijo;86; $ 1.377.280 
Almacontact Swat;1/02/2025;UG Fijo;612; $ 9.788.800 
AQI  Segundo Anillo;1/02/2025;UG Fijo;86; $ 1.377.280 
AQI Masivo Barranquilla;1/02/2025;UG Fijo;136; $ 2.176.000 
AQI Whatsapp;1/02/2025;UG Fijo;27; $ 432.000 
Atento  Segundo Anillo;1/02/2025;UG Fijo;129; $ 2.065.920 
Atento Proactivo;1/02/2025;UG Fijo;342; $ 5.472.000 
Atento Swat Bogotá;1/02/2025;UG Fijo;699; $ 11.187.200 
Atento Traslados Pereira;1/02/2025;UG Fijo;437; $ 6.992.000 
BRM Filtro;1/02/2025;UG Fijo;646; $ 10.329.600 
BRM Masivo Medellín;1/02/2025;UG Fijo;136; $ 2.176.000 
BRM Whatsapp;1/02/2025;UG Fijo;27; $ 432.000 
COS Fidelización Bogotá;1/02/2025;UG Fijo;205; $ 3.283.200 
COS Masivo Bogotá;1/02/2025;UG Fijo;170; $ 2.720.000 
COS Segundo Anillo;1/02/2025;UG Fijo;129; $ 2.065.920 
COS Whatsapp;1/02/2025;UG Fijo;14; $ 216.000 
Millenium Masivo;1/02/2025;UG Fijo;68; $ 1.088.000 
Millenium Web Center;1/02/2025;UG Fijo;68; $ 1.080.000 
Nexa Masivo;1/02/2025;UG Fijo;54; $ 870.400 
ABAI Masivo;1/02/2025;UG Móvil;350; $ 3.570.000 
ABAI Proactivo;1/02/2025;UG Móvil;588; $ 6.000.000 
ABAI Segundo Anillo;1/02/2025;UG Móvil;0; $ -   
Almacontact Swat;1/02/2025;UG Móvil;34; $ 350.000 
AQI  Segundo Anillo;1/02/2025;UG Móvil;0; $ -   
AQI Masivo Barranquilla;1/02/2025;UG Móvil;411; $ 4.200.000 
AQI Whatsapp;1/02/2025;UG Móvil;59; $ 600.000 
Atento  Segundo Anillo;1/02/2025;UG Móvil;0; $ -   
Atento Proactivo;1/02/2025;UG Móvil;1469; $ 15.000.000 
Atento Swat Bogotá;1/02/2025;UG Móvil;39; $ 400.000 
Atento Traslados Pereira;1/02/2025;UG Móvil;24; $ 250.000 
BRM Filtro;1/02/2025;UG Móvil;0; $ -   
BRM Masivo Medellín;1/02/2025;UG Móvil;411; $ 4.200.000 
BRM Whatsapp;1/02/2025;UG Móvil;59; $ 600.000 
COS Fidelización Bogotá;1/02/2025;UG Móvil;881; $ 9.000.000 
COS Masivo Bogotá;1/02/2025;UG Móvil;514; $ 5.250.000 
COS Segundo Anillo;1/02/2025;UG Móvil;0; $ -   
COS Whatsapp;1/02/2025;UG Móvil;29; $ 300.000 
Millenium Masivo;1/02/2025;UG Móvil;206; $ 2.100.000 
Millenium Web Center;1/02/2025;UG Móvil;147; $ 1.500.000 
Nexa Masivo;1/02/2025;UG Móvil;165; $ 1.680.000 
ABAI Masivo;1/02/2025;Ultra WiFi;1363; $ 224.766.838 
ABAI Proactivo;1/02/2025;Ultra WiFi;107; $ 17.579.529 
ABAI Segundo Anillo;1/02/2025;Ultra WiFi;201; $ 33.149.969 
Almacontact Swat;1/02/2025;Ultra WiFi;1011; $ 166.717.378 
AQI  Segundo Anillo;1/02/2025;Ultra WiFi;201; $ 33.149.969 
AQI Masivo Barranquilla;1/02/2025;Ultra WiFi;818; $ 134.860.102 
AQI Whatsapp;1/02/2025;Ultra WiFi;139; $ 22.979.192 
Atento  Segundo Anillo;1/02/2025;Ultra WiFi;302; $ 49.724.954 
Atento Proactivo;1/02/2025;Ultra WiFi;267; $ 43.948.823 
Atento Swat Bogotá;1/02/2025;Ultra WiFi;4899; $ 807.647.649 
Atento Traslados Pereira;1/02/2025;Ultra WiFi;2986; $ 492.231.037 
BRM Filtro;1/02/2025;Ultra WiFi;1508; $ 248.624.769 
BRM Masivo Medellín;1/02/2025;Ultra WiFi;982; $ 161.832.122 
BRM Whatsapp;1/02/2025;Ultra WiFi;261; $ 43.052.970 
COS Fidelización Bogotá;1/02/2025;Ultra WiFi;160; $ 26.369.294 
COS Masivo Bogotá;1/02/2025;Ultra WiFi;1363; $ 224.766.838 
COS Segundo Anillo;1/02/2025;Ultra WiFi;302; $ 49.724.954 
COS Whatsapp;1/02/2025;Ultra WiFi;197; $ 32.487.824 
Millenium Masivo;1/02/2025;Ultra WiFi;491; $ 80.916.061 
Millenium Web Center;1/02/2025;Ultra WiFi;203; $ 33.544.338 
Nexa Masivo;1/02/2025;Ultra WiFi;436; $ 71.925.388 
ABAI Masivo;1/03/2025;Adicionales;1106; $ 19.269.838 
ABAI Proactivo;1/03/2025;Adicionales;1161; $ 20.228.103 
ABAI Segundo Anillo;1/03/2025;Adicionales;932; $ 16.238.236 
Almacontact Swat;1/03/2025;Adicionales;647; $ 11.272.681 
AQI  Segundo Anillo;1/03/2025;Adicionales;510; $ 8.885.730 
AQI Masivo Barranquilla;1/03/2025;Adicionales;931; $ 16.220.813 
AQI Whatsapp;1/03/2025;Adicionales;467; $ 8.136.541 
Atento  Segundo Anillo;1/03/2025;Adicionales;2666; $ 46.449.718 
Atento Proactivo;1/03/2025;Adicionales;4304; $ 74.988.592 
Atento Swat Bogotá;1/03/2025;Adicionales;5762; $ 100.391.326 
Atento Traslados Pereira;1/03/2025;Adicionales;1276; $ 22.231.748 
BRM Filtro;1/03/2025;Adicionales;978; $ 17.039.694 
BRM Masivo Medellín;1/03/2025;Adicionales;1282; $ 22.336.286 
BRM Whatsapp;1/03/2025;Adicionales;418; $ 7.282.814 
COS Fidelización Bogotá;1/03/2025;Adicionales;2433; $ 42.390.159 
COS Masivo Bogotá;1/03/2025;Adicionales;1892; $ 32.964.316 
COS Segundo Anillo;1/03/2025;Adicionales;3616; $ 63.001.568 
Millenium Masivo;1/03/2025;Adicionales;1654; $ 28.817.642 
Millenium Web Center;1/03/2025;Adicionales;1417; $ 24.688.391 
Nexa Masivo;1/03/2025;Adicionales;332; $ 5.784.436 
ABAI Masivo;1/03/2025;Convergencia Móvil;22; $ -   
ABAI Proactivo;1/03/2025;Convergencia Móvil;0; $ -   
ABAI Segundo Anillo;1/03/2025;Convergencia Móvil;1; $ -   
Almacontact Swat;1/03/2025;Convergencia Móvil;1; $ -   
AQI  Segundo Anillo;1/03/2025;Convergencia Móvil;2; $ -   
AQI Masivo Barranquilla;1/03/2025;Convergencia Móvil;19; $ -   
AQI Whatsapp;1/03/2025;Convergencia Móvil;14; $ -   
Atento  Segundo Anillo;1/03/2025;Convergencia Móvil;1; $ -   
Atento Proactivo;1/03/2025;Convergencia Móvil;0; $ -   
Atento Swat Bogotá;1/03/2025;Convergencia Móvil;1; $ -   
Atento Traslados Pereira;1/03/2025;Convergencia Móvil;1; $ -   
BRM Filtro;1/03/2025;Convergencia Móvil;9; $ -   
BRM Masivo Medellín;1/03/2025;Convergencia Móvil;14; $ -   
BRM Whatsapp;1/03/2025;Convergencia Móvil;12; $ -   
COS Fidelización Bogotá;1/03/2025;Convergencia Móvil;0; $ -   
COS Masivo Bogotá;1/03/2025;Convergencia Móvil;34; $ -   
COS Segundo Anillo;1/03/2025;Convergencia Móvil;1; $ -   
Millenium Masivo;1/03/2025;Convergencia Móvil;14; $ -   
Millenium Web Center;1/03/2025;Convergencia Móvil;1; $ -   
Nexa Masivo;1/03/2025;Convergencia Móvil;6; $ -   
ABAI Masivo;1/03/2025;Internet;35; $ 3.343.725 
ABAI Proactivo;1/03/2025;Internet;19; $ 1.815.165 
ABAI Segundo Anillo;1/03/2025;Internet;23; $ 2.197.305 
Almacontact Swat;1/03/2025;Internet;12; $ 1.146.420 
AQI  Segundo Anillo;1/03/2025;Internet;32; $ 3.057.120 
AQI Masivo Barranquilla;1/03/2025;Internet;86; $ 8.216.010 
AQI Whatsapp;1/03/2025;Internet;68; $ 6.496.380 
Atento  Segundo Anillo;1/03/2025;Internet;90; $ 8.598.150 
Atento Proactivo;1/03/2025;Internet;41; $ 3.916.935 
Atento Swat Bogotá;1/03/2025;Internet;94; $ 8.980.290 
Atento Traslados Pereira;1/03/2025;Internet;72; $ 6.878.520 
BRM Filtro;1/03/2025;Internet;50; $ 4.776.750 
BRM Masivo Medellín;1/03/2025;Internet;193; $ 18.438.255 
BRM Whatsapp;1/03/2025;Internet;114; $ 10.890.990 
COS Fidelización Bogotá;1/03/2025;Internet;8; $ 764.280 
COS Masivo Bogotá;1/03/2025;Internet;142; $ 13.565.970 
COS Segundo Anillo;1/03/2025;Internet;149; $ 14.234.715 
Millenium Masivo;1/03/2025;Internet;34; $ 3.248.190 
Millenium Web Center;1/03/2025;Internet;8; $ 764.280 
Nexa Masivo;1/03/2025;Internet;13; $ 1.241.955 
ABAI Masivo;1/03/2025;Línea Nueva;5; $ 167.600 
ABAI Proactivo;1/03/2025;Línea Nueva;0; $ -   
ABAI Segundo Anillo;1/03/2025;Línea Nueva;1; $ 33.520 
Almacontact Swat;1/03/2025;Línea Nueva;1; $ 33.520 
AQI  Segundo Anillo;1/03/2025;Línea Nueva;1; $ 33.520 
AQI Masivo Barranquilla;1/03/2025;Línea Nueva;6; $ 201.120 
AQI Whatsapp;1/03/2025;Línea Nueva;3; $ 100.560 
Atento  Segundo Anillo;1/03/2025;Línea Nueva;1; $ 33.520 
Atento Proactivo;1/03/2025;Línea Nueva;0; $ -   
Atento Swat Bogotá;1/03/2025;Línea Nueva;1; $ 33.520 
Atento Traslados Pereira;1/03/2025;Línea Nueva;1; $ 33.520 
BRM Filtro;1/03/2025;Línea Nueva;2; $ 67.040 
BRM Masivo Medellín;1/03/2025;Línea Nueva;6; $ 201.120 
BRM Whatsapp;1/03/2025;Línea Nueva;2; $ 67.040 
COS Fidelización Bogotá;1/03/2025;Línea Nueva;0; $ -   
COS Masivo Bogotá;1/03/2025;Línea Nueva;9; $ 301.680 
COS Segundo Anillo;1/03/2025;Línea Nueva;1; $ 33.520 
Millenium Masivo;1/03/2025;Línea Nueva;4; $ 134.080 
Millenium Web Center;1/03/2025;Línea Nueva;7; $ 234.640 
Nexa Masivo;1/03/2025;Línea Nueva;2; $ 67.040 
ABAI Masivo;1/03/2025;Migraciones;135; $ 4.525.200 
ABAI Proactivo;1/03/2025;Migraciones;0; $ -   
ABAI Segundo Anillo;1/03/2025;Migraciones;13; $ 435.760 
Almacontact Swat;1/03/2025;Migraciones;43; $ 1.441.360 
AQI  Segundo Anillo;1/03/2025;Migraciones;14; $ 469.280 
AQI Masivo Barranquilla;1/03/2025;Migraciones;159; $ 5.329.680 
AQI Whatsapp;1/03/2025;Migraciones;50; $ 1.676.000 
Atento  Segundo Anillo;1/03/2025;Migraciones;17; $ 569.840 
Atento Proactivo;1/03/2025;Migraciones;0; $ -   
Atento Swat Bogotá;1/03/2025;Migraciones;48; $ 1.608.960 
Atento Traslados Pereira;1/03/2025;Migraciones;30; $ 1.005.600 
BRM Filtro;1/03/2025;Migraciones;75; $ 2.514.000 
BRM Masivo Medellín;1/03/2025;Migraciones;158; $ 5.296.160 
BRM Whatsapp;1/03/2025;Migraciones;51; $ 1.709.520 
COS Fidelización Bogotá;1/03/2025;Migraciones;0; $ -   
COS Masivo Bogotá;1/03/2025;Migraciones;198; $ 6.636.960 
COS Segundo Anillo;1/03/2025;Migraciones;18; $ 603.360 
Millenium Masivo;1/03/2025;Migraciones;84; $ 2.815.680 
Millenium Web Center;1/03/2025;Migraciones;127; $ 4.257.040 
Nexa Masivo;1/03/2025;Migraciones;68; $ 2.279.360 
ABAI Masivo;1/03/2025;Portabilidad Pospago;74; $ 2.480.480 
ABAI Proactivo;1/03/2025;Portabilidad Pospago;0; $ -   
ABAI Segundo Anillo;1/03/2025;Portabilidad Pospago;9; $ 301.680 
Almacontact Swat;1/03/2025;Portabilidad Pospago;11; $ 368.720 
AQI  Segundo Anillo;1/03/2025;Portabilidad Pospago;7; $ 234.640 
AQI Masivo Barranquilla;1/03/2025;Portabilidad Pospago;90; $ 3.016.800 
AQI Whatsapp;1/03/2025;Portabilidad Pospago;42; $ 1.407.840 
Atento  Segundo Anillo;1/03/2025;Portabilidad Pospago;10; $ 335.200 
Atento Proactivo;1/03/2025;Portabilidad Pospago;0; $ -   
Atento Swat Bogotá;1/03/2025;Portabilidad Pospago;13; $ 435.760 
Atento Traslados Pereira;1/03/2025;Portabilidad Pospago;8; $ 268.160 
BRM Filtro;1/03/2025;Portabilidad Pospago;42; $ 1.407.840 
BRM Masivo Medellín;1/03/2025;Portabilidad Pospago;90; $ 3.016.800 
BRM Whatsapp;1/03/2025;Portabilidad Pospago;42; $ 1.407.840 
COS Fidelización Bogotá;1/03/2025;Portabilidad Pospago;0; $ -   
COS Masivo Bogotá;1/03/2025;Portabilidad Pospago;110; $ 3.687.200 
COS Segundo Anillo;1/03/2025;Portabilidad Pospago;10; $ 335.200 
Millenium Masivo;1/03/2025;Portabilidad Pospago;45; $ 1.508.400 
Millenium Web Center;1/03/2025;Portabilidad Pospago;104; $ 3.486.080 
Nexa Masivo;1/03/2025;Portabilidad Pospago;36; $ 1.206.720 
ABAI Masivo;1/03/2025;Servicios Fijo;83; $ 3.467.194 
ABAI Proactivo;1/03/2025;Servicios Fijo;46; $ 1.909.895 
ABAI Segundo Anillo;1/03/2025;Servicios Fijo;54; $ 2.262.491 
Almacontact Swat;1/03/2025;Servicios Fijo;29; $ 1.204.703 
AQI  Segundo Anillo;1/03/2025;Servicios Fijo;77; $ 3.202.747 
AQI Masivo Barranquilla;1/03/2025;Servicios Fijo;207; $ 8.609.219 
AQI Whatsapp;1/03/2025;Servicios Fijo;161; $ 6.728.707 
Atento  Segundo Anillo;1/03/2025;Servicios Fijo;214; $ 8.932.432 
Atento Proactivo;1/03/2025;Servicios Fijo;99; $ 4.113.620 
Atento Swat Bogotá;1/03/2025;Servicios Fijo;223; $ 9.314.411 
Atento Traslados Pereira;1/03/2025;Servicios Fijo;174; $ 7.228.218 
BRM Filtro;1/03/2025;Servicios Fijo;120; $ 4.995.110 
BRM Masivo Medellín;1/03/2025;Servicios Fijo;461; $ 19.216.482 
BRM Whatsapp;1/03/2025;Servicios Fijo;275; $ 11.429.987 
COS Fidelización Bogotá;1/03/2025;Servicios Fijo;17; $ 734.575 
COS Masivo Bogotá;1/03/2025;Servicios Fijo;339; $ 14.133.223 
COS Segundo Anillo;1/03/2025;Servicios Fijo;357; $ 14.867.798 
Millenium Masivo;1/03/2025;Servicios Fijo;81; $ 3.379.045 
Millenium Web Center;1/03/2025;Servicios Fijo;19; $ 793.341 
Nexa Masivo;1/03/2025;Servicios Fijo;30; $ 1.263.469 
ABAI Masivo;1/03/2025;Tecnología;57; $ 14.849.908 
ABAI Proactivo;1/03/2025;Tecnología;8; $ 2.117.293 
ABAI Segundo Anillo;1/03/2025;Tecnología;13; $ 3.485.069 
Almacontact Swat;1/03/2025;Tecnología;16; $ 4.093.818 
AQI  Segundo Anillo;1/03/2025;Tecnología;4; $ 995.802 
AQI Masivo Barranquilla;1/03/2025;Tecnología;24; $ 6.304.819 
AQI Whatsapp;1/03/2025;Tecnología;26; $ 6.816.287 
Atento  Segundo Anillo;1/03/2025;Tecnología;76; $ 19.710.050 
Atento Proactivo;1/03/2025;Tecnología;26; $ 6.799.800 
Atento Swat Bogotá;1/03/2025;Tecnología;180; $ 46.684.354 
Atento Traslados Pereira;1/03/2025;Tecnología;163; $ 42.295.056 
BRM Filtro;1/03/2025;Tecnología;60; $ 15.631.905 
BRM Masivo Medellín;1/03/2025;Tecnología;59; $ 15.220.531 
BRM Whatsapp;1/03/2025;Tecnología;34; $ 8.861.907 
COS Fidelización Bogotá;1/03/2025;Tecnología;3; $ 697.018 
COS Masivo Bogotá;1/03/2025;Tecnología;42; $ 10.835.063 
COS Segundo Anillo;1/03/2025;Tecnología;5; $ 1.176.380 
Millenium Masivo;1/03/2025;Tecnología;24; $ 6.228.155 
Millenium Web Center;1/03/2025;Tecnología;8; $ 1.968.119 
Nexa Masivo;1/03/2025;Tecnología;21; $ 5.429.772 
ABAI Masivo;1/03/2025;Terminales;88; $ 105.097.309 
ABAI Proactivo;1/03/2025;Terminales;9; $ 10.506.548 
ABAI Segundo Anillo;1/03/2025;Terminales;4; $ 4.692.927 
Almacontact Swat;1/03/2025;Terminales;3; $ 3.820.977 
AQI  Segundo Anillo;1/03/2025;Terminales;1; $ 1.192.813 
AQI Masivo Barranquilla;1/03/2025;Terminales;75; $ 89.663.943 
AQI Whatsapp;1/03/2025;Terminales;46; $ 54.898.256 
Atento  Segundo Anillo;1/03/2025;Terminales;1; $ 1.307.283 
Atento Proactivo;1/03/2025;Terminales;1; $ 1.192.813 
Atento Swat Bogotá;1/03/2025;Terminales;4; $ 4.352.676 
Atento Traslados Pereira;1/03/2025;Terminales;1; $ 1.192.813 
BRM Filtro;1/03/2025;Terminales;122; $ 145.413.683 
BRM Masivo Medellín;1/03/2025;Terminales;20; $ 23.354.236 
BRM Whatsapp;1/03/2025;Terminales;47; $ 55.996.672 
COS Fidelización Bogotá;1/03/2025;Terminales;1; $ 1.188.745 
COS Masivo Bogotá;1/03/2025;Terminales;242; $ 288.979.432 
COS Segundo Anillo;1/03/2025;Terminales;20; $ 24.482.491 
Millenium Masivo;1/03/2025;Terminales;51; $ 60.853.822 
Millenium Web Center;1/03/2025;Terminales;19; $ 22.747.022 
Nexa Masivo;1/03/2025;Terminales;42; $ 49.831.763 
ABAI Masivo;1/03/2025;UG Fijo;268; $ 4.283.993 
ABAI Proactivo;1/03/2025;UG Fijo;55; $ 880.000 
ABAI Segundo Anillo;1/03/2025;UG Fijo;22; $ 359.680 
Almacontact Swat;1/03/2025;UG Fijo;525; $ 8.400.000 
AQI  Segundo Anillo;1/03/2025;UG Fijo;63; $ 1.007.106 
AQI Masivo Barranquilla;1/03/2025;UG Fijo;268; $ 4.283.993 
AQI Whatsapp;1/03/2025;UG Fijo;60; $ 964.800 
Atento  Segundo Anillo;1/03/2025;UG Fijo;70; $ 1.115.007 
Atento Proactivo;1/03/2025;UG Fijo;138; $ 2.200.000 
Atento Swat Bogotá;1/03/2025;UG Fijo;600; $ 9.600.000 
Atento Traslados Pereira;1/03/2025;UG Fijo;375; $ 6.000.000 
BRM Filtro;1/03/2025;UG Fijo;337; $ 5.395.200 
BRM Masivo Medellín;1/03/2025;UG Fijo;321; $ 5.140.792 
BRM Whatsapp;1/03/2025;UG Fijo;60; $ 964.800 
COS Fidelización Bogotá;1/03/2025;UG Fijo;82; $ 1.320.000 
COS Masivo Bogotá;1/03/2025;UG Fijo;625; $ 9.996.007 
COS Segundo Anillo;1/03/2025;UG Fijo;70; $ 1.115.007 
Millenium Masivo;1/03/2025;UG Fijo;161; $ 2.570.396 
Millenium Web Center;1/03/2025;UG Fijo;80; $ 1.286.400 
Nexa Masivo;1/03/2025;UG Fijo;143; $ 2.284.819 
ABAI Masivo;1/03/2025;UG Móvil;308; $ 3.149.995 
ABAI Proactivo;1/03/2025;UG Móvil;588; $ 6.000.000 
ABAI Segundo Anillo;1/03/2025;UG Móvil;0; $ -   
Almacontact Swat;1/03/2025;UG Móvil;34; $ 350.000 
AQI  Segundo Anillo;1/03/2025;UG Móvil;0; $ -   
AQI Masivo Barranquilla;1/03/2025;UG Móvil;308; $ 3.149.995 
AQI Whatsapp;1/03/2025;UG Móvil;88; $ 900.000 
Atento  Segundo Anillo;1/03/2025;UG Móvil;0; $ -   
Atento Proactivo;1/03/2025;UG Móvil;1469; $ 15.000.000 
Atento Swat Bogotá;1/03/2025;UG Móvil;39; $ 400.000 
Atento Traslados Pereira;1/03/2025;UG Móvil;24; $ 250.000 
BRM Filtro;1/03/2025;UG Móvil;0; $ -   
BRM Masivo Medellín;1/03/2025;UG Móvil;370; $ 3.779.994 
BRM Whatsapp;1/03/2025;UG Móvil;88; $ 900.000 
COS Fidelización Bogotá;1/03/2025;UG Móvil;881; $ 9.000.000 
COS Masivo Bogotá;1/03/2025;UG Móvil;720; $ 7.350.005 
COS Segundo Anillo;1/03/2025;UG Móvil;0; $ -   
Millenium Masivo;1/03/2025;UG Móvil;185; $ 1.889.997 
Millenium Web Center;1/03/2025;UG Móvil;118; $ 1.200.000 
Nexa Masivo;1/03/2025;UG Móvil;165; $ 1.680.014 
ABAI Masivo;1/03/2025;Ultra WiFi;1227; $ 202.313.812 
ABAI Proactivo;1/03/2025;Ultra WiFi;175; $ 28.845.810 
ABAI Segundo Anillo;1/03/2025;Ultra WiFi;288; $ 47.480.265 
Almacontact Swat;1/03/2025;Ultra WiFi;338; $ 55.773.812 
AQI  Segundo Anillo;1/03/2025;Ultra WiFi;82; $ 13.566.717 
AQI Masivo Barranquilla;1/03/2025;Ultra WiFi;521; $ 85.896.279 
AQI Whatsapp;1/03/2025;Ultra WiFi;563; $ 92.864.473 
Atento  Segundo Anillo;1/03/2025;Ultra WiFi;1629; $ 268.527.944 
Atento Proactivo;1/03/2025;Ultra WiFi;562; $ 92.639.855 
Atento Swat Bogotá;1/03/2025;Ultra WiFi;3858; $ 636.023.434 
Atento Traslados Pereira;1/03/2025;Ultra WiFi;3495; $ 576.224.032 
BRM Filtro;1/03/2025;Ultra WiFi;1292; $ 212.967.659 
BRM Masivo Medellín;1/03/2025;Ultra WiFi;1258; $ 207.363.148 
BRM Whatsapp;1/03/2025;Ultra WiFi;732; $ 120.733.821 
COS Fidelización Bogotá;1/03/2025;Ultra WiFi;58; $ 9.496.112 
COS Masivo Bogotá;1/03/2025;Ultra WiFi;895; $ 147.615.922 
COS Segundo Anillo;1/03/2025;Ultra WiFi;97; $ 16.026.895 
Millenium Masivo;1/03/2025;Ultra WiFi;515; $ 84.851.817 
Millenium Web Center;1/03/2025;Ultra WiFi;163; $ 26.813.472 
Nexa Masivo;1/03/2025;Ultra WiFi;449; $ 73.974.720 
ABAI Masivo;1/04/2025;Adicionales;1136; $ 19.792.528 
ABAI Proactivo;1/04/2025;Adicionales;1161; $ 20.228.103 
ABAI Segundo Anillo;1/04/2025;Adicionales;964; $ 16.795.772 
Almacontact Swat;1/04/2025;Adicionales;653; $ 11.377.219 
AQI  Segundo Anillo;1/04/2025;Adicionales;527; $ 9.181.921 
AQI Masivo Barranquilla;1/04/2025;Adicionales;958; $ 16.691.234 
AQI Whatsapp;1/04/2025;Adicionales;484; $ 8.432.732 
Atento  Segundo Anillo;1/04/2025;Adicionales;2746; $ 47.843.558 
Atento Clientes Criticos;1/04/2025;Adicionales;106; $ 1.846.838 
Atento Proactivo;1/04/2025;Adicionales;4304; $ 74.988.592 
Atento Swat Bogotá;1/04/2025;Adicionales;5810; $ 101.227.630 
Atento Traslados Pereira;1/04/2025;Adicionales;1288; $ 22.440.824 
BRM Filtro;1/04/2025;Adicionales;1016; $ 17.701.768 
BRM Masivo Medellín;1/04/2025;Adicionales;1318; $ 22.963.514 
BRM Whatsapp;1/04/2025;Adicionales;435; $ 7.579.005 
COS Fidelización Bogotá;1/04/2025;Adicionales;2433; $ 42.390.159 
